id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
0,none,0.393691560768625,0.0001,260,719,8,888,693,6,5,7,0.05488773105459534,88.25326506264771,0.30637288093566895
1,elasticnet,0.654140602221102,0.01,586,172,2,210,159,10,3,10,0.07954062490581527,9.841284021472056,0.9030294418334961
2,elasticnet,0.8510197133877198,0.01,518,426,1,788,531,7,4,8,0.053866663593257695,69.5682466087699,10.453464269638062
3,none,0.8533691456044985,0.0001,893,401,1,181,204,4,2,7,0.04188828051844404,53.84315843385217,0.18430161476135254
4,elasticnet,0.4849629512383904,0.01,400,894,8,561,323,9,5,12,0.06466512998270228,82.30042000320509,1.1060376167297363
5,elasticnet,0.6238593110988953,0.0001,967,424,4,137,127,2,2,9,0.07125299613100076,42.54744150609592,0.12194299697875977
6,none,0.7640753180236921,0.001,924,136,8,747,108,5,4,11,0.030319496673153524,35.6253619782512,0.20292425155639648
7,l1,0.4089119396431343,0.01,922,962,2,789,665,5,4,8,0.026960084410754228,60.227577646524445,8.514936923980713
8,none,0.765944929741514,0.001,243,78,8,810,394,3,2,6,0.021154969758088872,86.05302448556408,0.20464348793029785
9,elasticnet,0.5053906132122153,0.001,626,764,2,121,774,7,5,8,0.030256404347496203,70.8344935300943,1.8045258522033691
10,l1,0.8525571169622167,0.0001,129,25,8,678,992,8,5,11,0.0810399392424008,6.010267087962998,0.7052502632141113
11,elasticnet,0.8145048831796499,0.0001,187,786,1,966,870,4,3,10,0.08846448133679373,77.2555593619766,4.389688968658447
12,elasticnet,0.8122892920818814,0.01,489,439,1,106,284,9,2,11,0.048278699562798455,74.33077869856088,0.9230785369873047
13,l2,0.7912343546876788,0.0001,600,892,1,238,448,7,4,10,0.03734539821334642,36.73283545955085,0.5795526504516602
14,elasticnet,0.36289149064409065,0.01,842,824,2,322,743,9,4,11,0.02532423039227747,64.02981124663515,7.112531900405884
15,elasticnet,0.6529867493039819,0.0001,256,602,-1,346,578,9,4,10,0.08675553891567878,97.55073583932464,0.608022928237915
16,l1,0.7265546257690825,0.0001,388,160,4,647,222,10,4,10,0.03959432050604991,93.53744683796724,1.504570722579956
17,elasticnet,0.690781304851139,0.0001,729,505,1,911,446,3,3,8,0.04018286920234391,80.6085541208455,6.227297067642212
18,none,0.2613448370539258,0.0001,425,736,8,842,727,4,3,9,0.09691740177502393,12.881737889352932,0.4049253463745117
19,l1,0.5263293073210211,0.0001,921,794,1,865,280,8,3,7,0.04513337341178228,5.406030416916337,9.873707294464111
20,elasticnet,0.4345463566823823,0.0001,956,537,-1,861,632,6,4,7,0.09805363519669831,49.74358203042619,4.414455890655518
21,elasticnet,0.4432927448258932,0.0001,727,941,8,686,647,7,4,8,0.09716899291506315,56.635157893323054,2.7080767154693604
22,l1,0.2160978940494742,0.001,328,34,1,538,364,2,3,9,0.010718758714768363,20.043645079659015,0.3780393600463867
23,elasticnet,0.3769574029147127,0.0001,106,623,2,590,292,8,3,10,0.06129221443038938,81.64149306683589,0.7028930187225342
24,l1,0.7100412102450089,0.01,951,557,1,402,736,7,2,9,0.013758686762367502,96.34849936468113,10.654564619064331
25,l1,0.44424189920846846,0.001,983,961,2,770,799,9,5,9,0.03221448372855811,90.03592406553527,18.028804540634155
26,elasticnet,0.7815120568448982,0.001,936,994,8,639,114,2,4,10,0.02897075876390458,50.54687237340565,0.560347318649292
27,l1,0.35302484881109786,0.01,867,540,8,851,154,10,4,11,0.0390684466568464,56.08652785752826,2.007802963256836
28,elasticnet,0.33774847464032376,0.001,385,786,4,722,649,8,3,9,0.06148966456934564,42.21558822388037,2.9074738025665283
29,l1,0.190945599065146,0.01,828,212,1,886,596,10,5,10,0.08649679280915358,83.1139591346572,25.188620805740356
30,none,0.37085527224030923,0.0001,768,811,2,790,197,5,5,8,0.09040514751173181,54.11185302213329,0.9040074348449707
31,elasticnet,0.4665676008680666,0.0001,282,731,2,641,431,3,5,6,0.04622242190613834,99.92001537410941,1.2037639617919922
32,elasticnet,0.3476680686465984,0.01,160,311,8,715,598,9,5,11,0.07097792573511091,8.369958233575417,0.9051880836486816
33,l2,0.8656025301079199,0.001,177,633,2,742,660,7,4,11,0.09282922252376316,72.73613870387048,0.5032317638397217
34,l2,0.4909080618953995,0.0001,338,998,-1,755,473,10,2,10,0.07917955336379703,11.396117670469305,0.3086965084075928
35,none,0.8558288152890633,0.001,482,541,1,184,155,6,4,11,0.04338555844159928,61.752713729781,0.12020063400268555
36,l1,0.7638242853393233,0.0001,363,88,8,553,292,4,4,8,0.009170043039172493,88.13497219662176,0.503915548324585
37,none,0.765380123231418,0.01,666,689,4,896,115,4,2,10,0.0651254222581041,93.12742015800744,0.30281877517700195
38,l2,0.6227183724196204,0.01,407,716,-1,989,888,5,3,10,0.09978589423443156,4.079502004587823,0.507683277130127
39,none,0.6078682430192985,0.0001,669,89,1,520,100,8,5,8,0.033917804392746734,74.19932455419156,0.6017816066741943
40,l1,0.15566884497245814,0.001,561,805,4,289,816,7,2,9,0.02648824810600625,81.9506471544888,1.6047289371490479
41,elasticnet,0.6828495660756693,0.01,973,558,4,428,784,3,4,9,0.0408637117069423,89.92920770812226,2.506636619567871
42,l1,0.7677678524436069,0.001,484,75,4,881,381,3,3,6,0.016455827047581386,79.16094834671328,1.3050613403320312
43,l1,0.3180328182429844,0.01,573,788,-1,975,476,3,3,10,0.04421467451416024,49.05092204661236,1.9112470149993896
44,none,0.21011238087395415,0.01,842,974,4,465,312,7,5,12,0.06671467768463435,61.244404885724514,0.4033327102661133
45,none,0.539103312693585,0.001,538,257,1,222,573,7,5,9,0.04859208425349381,82.96981818316037,0.6055850982666016
46,l2,0.4249627493989073,0.001,962,855,4,410,826,4,2,8,0.021471155302907476,58.304134146042635,0.5032432079315186
47,none,0.8214721424214497,0.0001,494,872,-1,763,373,5,5,11,0.052227604061955896,4.1570564954368,0.307858943939209
48,elasticnet,0.7160629454092872,0.0001,673,97,-1,174,735,10,2,11,0.006995582503621489,8.42177362356233,1.0088324546813965
49,l1,0.18125047510872916,0.001,345,982,1,583,292,6,3,7,0.09365502414739275,78.03622632497637,1.9846885204315186
50,l1,0.7623439261409601,0.001,862,236,2,762,803,6,4,10,0.05012999563615042,83.9332682299012,9.717679977416992
51,l1,0.17000576318993427,0.001,938,66,-1,755,438,8,2,9,0.08259927283469415,7.371330989261753,2.3132832050323486
52,l2,0.11644369779190633,0.0001,699,737,8,895,258,4,5,11,0.013566095260772638,39.05037159620753,0.40395593643188477
53,elasticnet,0.8675721802973844,0.001,289,955,1,387,463,3,3,10,0.06403230843625628,61.81194678433252,1.081496000289917
54,none,0.8269262894714179,0.0001,231,222,-1,679,161,6,4,10,0.07564057461054739,29.184792295451725,0.1073455810546875
55,l1,0.7081591375948947,0.0001,414,444,8,258,200,10,5,11,0.02262461569177492,77.70037663460326,0.4037034511566162
56,elasticnet,0.5733786519095742,0.01,535,751,2,354,918,3,3,8,0.07369105885437459,22.099628252021898,2.3054516315460205
57,elasticnet,0.3029775971226599,0.001,387,656,4,431,584,10,5,9,0.08819041029933938,94.58939050685902,2.3067221641540527
58,l1,0.8262706695933607,0.0001,629,843,4,984,596,9,5,11,0.08097706407582782,46.93922232187749,6.613850355148315
59,l2,0.30358074588030953,0.001,680,986,8,888,604,3,3,10,0.04246492181107891,27.60526929953487,0.504662036895752
60,l1,0.6771809826626602,0.0001,360,720,8,705,680,5,5,10,0.08566108552944658,66.67764714151201,1.2056427001953125
61,elasticnet,0.5268732146176893,0.001,719,632,1,450,445,8,5,12,0.0381460747729899,94.11114559812489,7.996671915054321
62,l2,0.8043934015258869,0.0001,135,586,4,979,565,3,3,8,0.050924043678966295,40.629474837915986,0.20422577857971191
63,elasticnet,0.5780123667682796,0.0001,409,746,8,406,310,5,3,8,0.04515291853270223,4.747668788176881,0.5039606094360352
64,elasticnet,0.1254175597853009,0.0001,808,198,1,568,208,5,4,9,0.010370596275317157,96.26095818529616,3.7961463928222656
65,elasticnet,0.5423850840286717,0.001,947,904,2,492,784,8,5,11,0.04642771339689727,92.99064663309483,11.122513055801392
66,none,0.20447787934157946,0.001,295,151,2,748,745,3,5,9,0.08565490133441707,30.292638748770212,0.5036725997924805
67,none,0.375567796809667,0.0001,588,76,1,296,523,8,3,8,0.07330097382106773,10.649799574581218,0.9228236675262451
68,l2,0.206714963150752,0.0001,289,861,8,673,1000,10,5,8,0.01797179230406838,14.193500329967037,0.604989767074585
69,l2,0.18930520225240885,0.0001,320,190,2,963,684,7,4,7,0.098630562989175,81.32491242898325,1.204300880432129
70,elasticnet,0.34282424630624075,0.01,121,210,1,929,945,5,3,10,0.0761780837448383,29.806603799726258,3.450880527496338
71,l2,0.28837912311714353,0.01,767,229,4,165,538,9,4,8,0.0565654027446936,35.75604215460787,0.3038003444671631
72,l2,0.11826055200437012,0.01,462,763,-1,543,205,7,4,8,0.0963996695399914,19.22552305851098,0.20818710327148438
73,none,0.3609817198167238,0.0001,658,635,8,916,660,8,4,12,0.05563670224450234,88.8111606361676,0.6048955917358398
74,none,0.6390390119400396,0.001,390,606,2,761,422,4,4,7,0.056406171114938834,56.68573925651431,0.5028784275054932
75,l2,0.8723228066900227,0.0001,856,514,4,894,411,4,2,10,0.012429185674018729,98.63948646956035,0.6034908294677734
76,none,0.21868300626458606,0.01,725,328,4,948,130,3,5,10,0.056025733799785316,88.1075143016121,0.3028743267059326
77,l1,0.6684722628948447,0.001,757,801,4,420,297,8,4,12,0.09492200572458025,6.988916714547001,1.40462064743042
78,none,0.609682059687009,0.01,468,860,-1,1000,348,9,3,7,0.03911339184439869,98.60813917959418,0.509986162185669
79,elasticnet,0.8491486640801518,0.01,186,502,8,505,586,4,3,9,0.06972960428467458,50.025884125048584,0.5042035579681396
80,l1,0.5973392106052324,0.001,958,725,4,873,422,5,5,7,0.03126119451220869,97.2024952673624,4.2101829051971436
81,elasticnet,0.24069608234372986,0.001,938,482,8,614,913,6,4,10,0.07991747216353229,80.23944484371447,4.311715364456177
82,l1,0.12657144004715282,0.0001,865,361,-1,284,779,7,4,8,0.022953021290718058,7.383987527313307,1.3109161853790283
83,none,0.3480712261960173,0.001,748,738,4,706,954,6,5,8,0.038320484901378564,35.85427025670711,1.3057687282562256
84,elasticnet,0.533828007395759,0.001,651,288,4,330,973,2,3,7,0.09279186484517538,89.42265236919347,1.446141004562378
85,elasticnet,0.4675859586603609,0.01,885,241,8,276,894,7,4,10,0.04891201926009581,90.74457447870074,1.8072638511657715
86,elasticnet,0.1185795347701995,0.0001,293,921,-1,509,405,4,5,7,0.03866701099490353,74.22592720816922,0.50948166847229
87,l1,0.2404286179156257,0.001,451,9,4,456,583,8,4,10,0.02800674504806827,47.353123227642364,1.6048338413238525
88,l1,0.8791771901336864,0.0001,842,638,-1,336,955,7,3,11,0.019374242711113356,29.815854652446777,1.81105375289917
89,l2,0.30865368022943696,0.001,999,656,1,633,953,8,3,8,0.021448503645765338,15.262094467934455,5.950839996337891
90,l1,0.23320392827736472,0.01,779,540,4,819,425,7,5,9,0.007043910202219017,72.75579879279452,3.9103968143463135
91,none,0.7365095753067232,0.01,849,299,-1,175,546,9,2,9,0.03139611936974414,95.13827145889395,0.20893120765686035
92,elasticnet,0.22444402461565272,0.01,759,989,4,599,149,7,4,10,0.0108893251819423,51.505597102781714,1.6045160293579102
93,l2,0.8004443035035561,0.001,276,794,2,623,315,7,2,9,0.010254451209575521,62.328116332834774,0.40236377716064453
94,l2,0.8778920528709709,0.0001,776,781,8,972,823,5,3,8,0.005175103657367508,38.57353942408766,0.9059770107269287
95,l1,0.1319023393377978,0.001,912,744,4,513,272,3,3,9,0.08345159115016086,45.763748495720165,0.9037139415740967
96,elasticnet,0.13339103598224675,0.0001,291,992,2,212,501,3,3,8,0.06615758412186225,21.090245035850057,0.502495288848877
97,none,0.2127825518793225,0.0001,409,616,-1,727,244,3,2,8,0.09358663637851866,72.99960860326753,0.20806145668029785
98,none,0.7702476299522705,0.0001,563,42,8,337,473,5,3,6,0.049790131958001686,41.45833534798479,0.2035694122314453
99,elasticnet,0.733463840692285,0.001,293,50,4,632,351,7,4,7,0.05985368492854518,32.42610194142526,1.1042490005493164
100,none,0.49577015117855705,0.001,172,144,1,528,271,10,3,9,0.04572044420834936,76.07178212115791,0.3826169967651367
101,none,0.4054581179804414,0.0001,619,46,4,777,545,2,2,7,0.06437834797245681,47.95285397138567,0.33396434783935547
102,none,0.7516871311131782,0.001,910,407,8,668,541,8,5,11,0.05420670061247549,80.16235359632812,0.6048204898834229
103,l1,0.19137063112408204,0.0001,444,116,1,767,866,8,3,8,0.07847626078334391,54.51168824957461,12.909716844558716
104,l2,0.6621535347183695,0.0001,692,604,2,682,657,2,4,9,0.003296447635920763,81.72355002297887,0.39254045486450195
105,elasticnet,0.4448175211042923,0.0001,506,813,1,449,834,5,5,11,0.016107396326326084,45.86876633657945,6.578579902648926
106,none,0.7781391924251061,0.01,195,199,1,614,931,2,3,5,0.019359782937811088,26.359823268463185,0.13925528526306152
107,l1,0.3760836967503164,0.0001,962,852,2,669,727,10,5,12,0.01961828274957418,64.4463821472151,14.322986841201782
108,elasticnet,0.3584546388998655,0.001,870,307,-1,113,878,9,2,9,0.04900515896326333,11.225949599964556,0.8105068206787109
109,elasticnet,0.7907457900279206,0.01,156,40,1,393,804,3,3,10,0.045386456528810126,10.922843561722209,0.960015058517456
110,elasticnet,0.4575619923587907,0.0001,291,291,4,277,780,4,3,9,0.059636640356206055,6.5923637123049215,0.5030288696289062
111,l1,0.40814117442872955,0.001,900,17,-1,694,119,2,4,9,0.026451591922016817,79.54344679950853,0.6802630424499512
112,none,0.4359257885056762,0.0001,223,330,1,773,529,4,4,11,0.04948652385969504,71.2545444580399,0.4697718620300293
113,l2,0.7055166818113597,0.0001,106,206,4,654,522,7,5,8,0.061043121538029835,25.40245413985396,0.10339951515197754
114,none,0.44913744918838483,0.001,838,936,1,981,585,6,4,8,0.026968177373925085,94.17478596923368,3.7489848136901855
115,none,0.3532630574603004,0.001,221,110,8,732,131,5,2,10,0.03968535333314676,27.1634100096754,0.10457253456115723
116,l1,0.16989309397875257,0.0001,881,542,2,329,120,7,2,6,0.09818749168710544,2.1016344655513204,1.1033387184143066
117,none,0.5871032655574545,0.01,977,336,1,815,623,9,5,11,0.09160689434439917,58.24175479009647,6.1458282470703125
118,l1,0.4377512947279566,0.0001,937,902,1,861,877,9,2,8,0.09448686171066226,5.702438273126642,34.65981698036194
119,none,0.33134161845782406,0.0001,189,364,2,206,951,9,5,10,0.0918141201863834,74.46721301332904,0.3029298782348633
120,l1,0.28990041292683283,0.01,282,695,8,601,880,9,2,8,0.0028027278008518675,82.7237288438094,1.7068214416503906
121,l2,0.12098709026195698,0.01,466,522,2,800,630,5,5,11,0.03665750041030985,78.56336811071544,1.0039458274841309
122,l2,0.8962678960310584,0.001,774,221,4,631,859,7,4,8,0.006693299529146124,89.74794414383193,1.104738473892212
123,l2,0.541333802276961,0.001,881,262,2,692,777,6,2,8,0.06535196895154675,16.21881747003576,2.0053625106811523
124,none,0.6837025368236194,0.0001,699,895,-1,110,553,7,2,10,0.036770890681676306,98.44446621106829,0.10752344131469727
125,l1,0.38386190447631974,0.001,560,654,2,279,391,8,5,11,0.02351490369813185,89.94926559980965,1.704115867614746
126,l2,0.7136991458696852,0.001,685,644,8,452,479,8,3,11,0.06659673261400544,76.31820344690071,0.30362868309020996
127,l2,0.36850067293390354,0.001,581,428,-1,870,883,4,5,7,0.08735142920739458,49.70427431118646,0.7086820602416992
128,elasticnet,0.8663427731672388,0.01,908,551,2,866,951,10,3,7,0.006903787776735993,29.274021188727477,27.242566347122192
129,l1,0.17796681852059246,0.001,108,601,2,992,549,9,3,11,0.08391143406594584,38.380653062497906,1.9058585166931152
130,l2,0.8526136974604389,0.01,705,557,8,843,144,2,5,8,0.04295944347616024,19.464289829486514,0.19001412391662598
131,none,0.18864200759159788,0.001,429,97,8,668,100,3,5,7,0.07242032577821471,27.846933571386177,0.1037144660949707
132,l1,0.5248453623411622,0.01,658,412,1,801,215,3,4,6,0.008887059330818093,17.681364270416687,2.062579870223999
133,elasticnet,0.8728844772654679,0.001,382,196,4,438,280,10,3,11,0.07892276196089147,45.50682798509042,1.2051870822906494
134,elasticnet,0.12742043987691265,0.001,708,130,8,528,317,8,5,10,0.002357452421576967,44.40493263469935,1.2058141231536865
135,elasticnet,0.471406120162013,0.01,837,54,4,652,330,6,3,7,0.07489612514339879,47.81440019532431,2.907541036605835
136,l2,0.6522284715990623,0.0001,972,381,1,655,978,10,3,11,0.05949745433035833,99.36957614842109,7.682250499725342
137,l2,0.3073693885776423,0.0001,985,24,4,267,617,5,3,7,0.057824863919939476,77.52672504266684,0.5039265155792236
138,elasticnet,0.5897107365913871,0.01,517,589,2,864,796,7,2,6,0.04333643529494916,58.17131296125932,9.917641162872314
139,l1,0.5013191985410059,0.001,388,72,4,216,827,9,4,9,0.0764085929375607,93.25210405934529,1.2050528526306152
140,none,0.5929893751053131,0.0001,114,492,1,461,994,7,5,8,0.06242676306510672,21.79036450478995,0.4550974369049072
141,l2,0.7979611503624913,0.01,103,403,1,981,605,9,5,10,0.09751924858505873,60.72513854719786,0.7723405361175537
142,none,0.270794892384309,0.01,188,441,8,100,647,4,2,10,0.0439155975134937,86.91676868514661,0.10368537902832031
143,l1,0.850415339715198,0.0001,731,29,8,920,841,4,2,10,0.05539340341722816,98.88812199974849,3.5097973346710205
144,elasticnet,0.3659652564855065,0.01,964,767,4,185,143,3,4,7,0.09992367935784296,5.624675238464318,0.2024836540222168
145,l1,0.5063642702726153,0.0001,865,395,8,996,430,4,5,10,0.08264297605317798,73.24945233652299,2.7081081867218018
146,elasticnet,0.7643684386576627,0.01,180,835,4,874,127,5,4,9,0.09619489300315587,73.17329885700646,0.4030778408050537
147,elasticnet,0.45417628156321443,0.001,771,159,4,536,608,7,5,8,0.08151465009739871,71.23593978757764,3.9088470935821533
148,elasticnet,0.6381517360654578,0.001,482,67,2,356,954,3,5,9,0.042898659209282236,59.67050728740894,2.406546115875244
149,l2,0.16922987793983513,0.01,595,608,-1,710,931,3,2,7,0.01092879978568878,73.35251301151605,0.6106319427490234
150,elasticnet,0.7326440323297947,0.01,389,592,-1,350,873,9,3,11,0.018424644139495516,24.808137904864722,1.1094074249267578
151,l1,0.7963275561885073,0.01,422,988,2,461,523,8,5,10,0.0876338203519854,29.892413984485678,2.806102991104126
152,l2,0.1264350715049136,0.001,827,554,2,894,179,10,3,7,0.04325864745831496,33.568179902979836,1.504453182220459
153,elasticnet,0.2436466402675193,0.001,592,895,-1,122,279,6,3,9,0.09209308219242397,4.80235234144747,0.2087574005126953
154,none,0.572774366860046,0.0001,394,234,8,498,728,3,4,10,0.05968011306584543,44.62903733630395,0.20377182960510254
155,elasticnet,0.22585089333585628,0.001,960,552,8,820,347,7,4,10,0.011911264289638714,14.2837899830215,2.507460832595825
156,l2,0.6458722685038019,0.01,245,66,8,562,218,8,3,9,0.09589699337382732,17.805183610286154,0.10389304161071777
157,elasticnet,0.8303752325538006,0.01,433,686,1,213,816,9,2,8,0.03221664845380321,39.71808876098913,4.615636348724365
158,l2,0.26410797496673216,0.01,693,701,-1,995,658,8,2,7,0.09691178129178912,87.37593606920242,0.8084614276885986
159,l1,0.4259073039335972,0.01,107,866,8,457,780,9,5,8,0.010082362483545527,54.00219785415945,0.504711389541626
160,l2,0.21445196133299638,0.01,684,496,-1,506,188,10,4,9,0.07374777347069934,18.130437371990087,0.20768523216247559
161,elasticnet,0.5056420346526234,0.0001,533,36,1,266,450,7,3,9,0.08798226813474225,61.647394086713874,3.1170670986175537
162,elasticnet,0.43878862674538344,0.001,424,174,1,931,650,8,2,9,0.06387098560732599,96.25488815081245,14.209397554397583
163,elasticnet,0.8758652148493549,0.01,338,493,2,740,715,6,2,6,0.06928586905657173,22.847554275016332,4.010477781295776
164,l2,0.4547531639464778,0.01,737,1,-1,417,602,7,5,8,0.07936538460443207,55.328654685448974,0.30855894088745117
165,l1,0.16789299462526497,0.01,151,974,2,343,842,8,5,11,0.014192504775635707,74.00481498687708,1.1036152839660645
166,elasticnet,0.38453698966834693,0.001,894,878,8,283,268,3,3,10,0.08262959890380234,53.51746297304429,0.6041059494018555
167,l2,0.4185547083473802,0.0001,345,873,1,990,255,6,5,8,0.04411343371575385,99.17874283510677,1.0590088367462158
168,l2,0.33919744252720496,0.001,188,645,8,514,837,5,3,8,0.030145107143572183,87.65873039919394,0.20330357551574707
169,elasticnet,0.4968085079464788,0.0001,260,637,8,199,755,10,3,11,0.06030046478402893,82.45877090609825,0.7043275833129883
170,l1,0.46953932624085837,0.001,446,433,4,894,882,2,4,10,0.0004650796589831918,63.71655616555726,1.9110898971557617
171,none,0.31820390346721317,0.01,871,816,8,394,888,3,4,6,0.02120754685192209,49.20488085692786,0.40422558784484863
172,none,0.7746304209392735,0.001,710,732,4,606,220,7,3,8,0.052014876465023265,71.95710340243996,0.5030763149261475
173,l2,0.8513221162065466,0.0001,107,99,8,861,679,3,5,8,0.08995781313493831,78.71101767456332,0.10403847694396973
174,none,0.8077531199749542,0.0001,112,41,2,960,339,5,2,6,0.09178893099340889,10.716041550118627,0.20242857933044434
175,l2,0.493944339828552,0.001,726,183,-1,809,511,10,4,9,0.02729789982189801,99.47137918416806,0.6083979606628418
176,l1,0.2593316540381553,0.001,581,557,8,691,333,2,5,6,0.04437168451652537,70.94418883982956,0.7447712421417236
177,l1,0.776738101987142,0.001,464,899,8,375,437,5,3,9,0.052229412314134506,45.90508943097817,0.5033156871795654
178,l2,0.7037286713861789,0.001,881,758,-1,748,511,2,3,6,0.07623640956937634,35.20379010729558,0.4335808753967285
179,l2,0.8347398056419546,0.0001,325,223,1,242,798,4,2,10,0.03670163433914092,31.665837227926502,0.31337881088256836
180,elasticnet,0.23663184225968578,0.0001,102,476,2,231,922,3,4,6,0.010537961230088834,83.58408220440485,0.402310848236084
181,l1,0.661800196522383,0.01,359,608,2,400,568,3,4,10,0.06764593284749991,50.9025152818124,1.0033411979675293
182,elasticnet,0.4718318091832394,0.01,682,142,8,160,417,10,3,10,0.04879890856642688,33.22800425174283,0.8045191764831543
183,elasticnet,0.3641119873487825,0.001,434,508,8,246,796,3,4,8,0.05639806672086344,66.52374074842265,0.7044293880462646
184,elasticnet,0.8223197676413765,0.01,468,664,-1,813,978,5,4,8,0.006825236522372269,54.58936295681666,2.814450979232788
185,l2,0.24214688282078614,0.0001,849,936,4,271,286,6,2,6,0.011126510659291067,66.99709840628935,0.20338225364685059
186,l1,0.35279459867917484,0.001,880,114,1,419,247,4,5,7,0.03556089942705167,69.19643844797184,2.027327299118042
187,elasticnet,0.14341235995075038,0.01,255,868,-1,494,735,7,5,11,0.07708077736334004,77.81842067086004,0.8079016208648682
188,l1,0.7893052022131829,0.001,671,381,2,105,942,3,2,9,0.008725778800928763,16.885760855310757,0.8030540943145752
189,l1,0.7970117575258904,0.01,225,247,-1,663,790,2,5,7,0.0901361657529488,4.087041633400445,0.6530272960662842
190,l1,0.686720030549171,0.01,554,239,8,645,742,10,5,11,0.07056676678847931,14.460532777094096,3.2107784748077393
191,l1,0.25344470006031444,0.01,674,488,1,826,442,10,5,12,0.0919801684661043,36.94557970470324,14.308940410614014
192,none,0.2701947974503741,0.01,987,129,4,553,118,10,5,11,0.024521667653216242,17.250510124857424,0.5040485858917236
193,none,0.21938260450996233,0.001,521,265,-1,635,851,8,3,7,0.005625881769011887,23.132721658624604,0.5098285675048828
194,l1,0.593667804247402,0.0001,831,271,4,811,992,6,4,8,0.0022001433257694547,39.47480391375562,7.615051031112671
195,l1,0.5999236430080808,0.0001,442,925,1,388,144,9,4,12,0.09864972510333732,81.77129250969566,1.4991745948791504
196,l2,0.7653138158349856,0.01,209,92,1,487,993,5,3,7,0.024756319686369124,16.073499227998518,0.6267919540405273
197,elasticnet,0.5661917427598891,0.01,478,479,4,825,916,2,5,9,0.05181754543705511,22.719014772075692,2.253744602203369
198,elasticnet,0.5205293437795285,0.0001,546,159,-1,648,877,8,4,11,0.037533991777826486,12.596311616763712,2.5150909423828125
